article_date,sentiment_score,article_count,total_words
2016-03-24T00:00:00Z,-0.3493975903614458,1,1231
2016-08-19T00:00:00Z,0.5645161290322581,1,1196
2016-06-09T00:00:00Z,-0.5,1,113
2016-08-14T00:00:00Z,2,1,203
2016-02-10T00:00:00Z,0.6825513196480938,2,1572
2016-11-10T00:00:00Z,1.4545454545454546,1,117
2016-12-06T00:00:00Z,0.14432989690721648,1,1400
2016-01-15T00:00:00Z,0.6001872659176031,2,2101
2016-08-29T00:00:00Z,0.4772727272727273,2,380
2016-09-30T00:00:00Z,0,1,476
2016-07-10T00:00:00Z,1,1,128
2016-01-11T00:00:00Z,1,1,989
2016-03-20T00:00:00Z,0,2,144
2016-05-08T00:00:00Z,2.75,1,95
2016-11-08T00:00:00Z,-0.017241379310344834,2,1885
2016-09-22T00:00:00Z,-0.125,1,192
2016-06-29T00:00:00Z,0.10526315789473684,2,512
2016-12-16T00:00:00Z,-1.375,1,98
2016-09-14T00:00:00Z,1.6666666666666667,1,379
2016-09-01T00:00:00Z,0.5714285714285714,1,129
2016-03-29T00:00:00Z,-0.2413793103448276,1,678
2016-01-31T00:00:00Z,3,1,37
2016-06-23T00:00:00Z,-1,1,132
2016-12-30T00:00:00Z,0.9166666666666666,1,284
2016-11-29T00:00:00Z,0.9069767441860465,1,976
2016-04-27T00:00:00Z,0.6624203821656051,1,3574
2016-11-23T00:00:00Z,-1,1,84
2016-08-02T00:00:00Z,0.58,2,1930
2016-04-15T00:00:00Z,0.2857142857142857,1,828
2016-07-23T00:00:00Z,0.6071428571428571,2,192
2016-04-07T00:00:00Z,-0.7,1,370
2016-08-04T00:00:00Z,1.25,1,87
2016-09-25T00:00:00Z,0.5789473684210527,1,482
2016-03-31T00:00:00Z,-0.6666666666666666,1,334
2016-07-05T00:00:00Z,-1.4,1,138
2016-09-19T00:00:00Z,-0.40993788819875776,1,2462
2016-12-05T00:00:00Z,0.35714285714285715,1,223
2016-06-03T00:00:00Z,1,1,66
2016-12-15T00:00:00Z,0.7391304347826086,2,422
2016-05-04T00:00:00Z,0.3728813559322034,1,991
2016-01-26T00:00:00Z,-0.5,1,200
2016-05-05T00:00:00Z,-0.14814814814814814,1,741
2016-01-29T00:00:00Z,0.5792682926829269,2,859
2016-11-28T00:00:00Z,1.4130434782608696,1,826
2016-09-23T00:00:00Z,0.8245614035087719,1,983
2016-10-17T00:00:00Z,0.08695652173913043,1,459
2016-09-29T00:00:00Z,0.7777777777777778,1,250
2016-06-30T00:00:00Z,-0.36,1,495
2016-11-01T00:00:00Z,0.8888888888888888,2,494
2016-08-01T00:00:00Z,0.2962962962962963,1,993
2016-12-19T00:00:00Z,-0.5,1,358
2016-08-30T00:00:00Z,-0.19753086419753085,1,1675
2016-06-22T00:00:00Z,0.8333333333333333,2,357
2016-03-08T00:00:00Z,1.5714285714285714,1,310
2016-06-15T00:00:00Z,-2,1,83
2016-08-15T00:00:00Z,1.375,2,1083
2016-01-28T00:00:00Z,0.8333333333333334,1,642
2016-02-04T00:00:00Z,0.9743589743589743,1,1087
2016-12-02T00:00:00Z,1.5,1,189
2016-05-09T00:00:00Z,-0.3888888888888889,1,1165
2016-04-30T00:00:00Z,2,1,115
2016-06-13T00:00:00Z,-1,1,131
2016-08-24T00:00:00Z,-1.625,1,515
2016-06-25T00:00:00Z,-0.1754385964912281,2,767
2016-09-09T00:00:00Z,NA,1,6
2016-10-01T00:00:00Z,-1,1,216
2016-12-20T00:00:00Z,0.8409090909090908,2,862
2016-09-18T00:00:00Z,1.0714285714285714,1,523
